name,ticker
BP (USD),BP
GAZPROM,GAZ.DE
IBERDROLA,IBE.MC
ING,INGA.AS
L'OREAL,OR.PA
LUKOIL (USD),LUKOY
LVMH,MC.PA
MELEXIS,MELE.BR
NOKIA,NOKIA.HE
POWERCELL,27W.F
ROYAL DUTCH SHELL,RDSA.AS
RYANAIR,RY4C.DE
SPOTIFY,639.DE
TOTAL,FP.PA
VEOLIA,VIE.PA
VESTAS,VWS.DE
