name,ticker
ALIBABA,BABA
BAIDU,BIDU
BITAUTO,BITA
BYD,BYDDF
CHINA LIFE,LFC
CHINA MOBILE,CHL
CHINA TELECOM,CHA
CHUNGHWA TELECOM,CHT
HDFC BANK,HDB
ICICI BANK,IBN
INFOSYS,INFY
JD.COM,JD
MIZUHO FINANCIAL,MFG
NETEASE,NTES
NOMURA,NMR
ORMAT TECHNOLOGIES,ORA
PETROCHINA,PTR
PINDUODUO,PDD
SAMSUNG,SMSN.IL
SINA,SINA
SOFTBANK,SFTBY
SONY,SNE
SUMITOMO,SMFG
TAKEDA,TAK
TENCENT HOLDINGS,TCEHY
TOYOTA,TM
WIPRO,WIT
XIAOMI,XIACF
